Cat,Name,Smiles,PIC50_pred,
S4706,Eugenol,COC1=C(O)C=CC(=C1)CC=C,6.297773116,
E4257,Vanillylamine,COC1=CC(=CC=C1O)CN,6.297773116,
S3984,Nordihydroguaiaretic acid (NDGA),CC(CC1=CC=C(O)C(=C1)O)C(C)CC2=CC=C(O)C(=C2)O,6.290051443,
S2450,Equol,OC1=CC=C(C=C1)C2COC3=CC(=CC=C3C2)O,6.224215269,
S3626,Sesamol,OC1=CC2=C(OCO2)C=C1,6.224215269,
S3922,(-)-epigallocatechin,OC1CC2=C(OC1C3=CC(=C(O)C(=C3)O)O)C=C(O)C=C2O,6.224215269,
S3974,(+)-Catechin hydrate,OC1CC2=C(OC1C3=CC(=C(O)C=C3)O)C=C(O)C=C2O,6.224215269,
S4722,(+)-Catechin,OC1CC2=C(OC1C3=CC(=C(O)C=C3)O)C=C(O)C=C2O,6.224215269,
S4723,(-)Epicatechin,OC1CC2=C(OC1C3=CC(=C(O)C=C3)O)C=C(O)C=C2O,6.224215269,
S6601,(ˇŔ)-Equol,OC1=CC=C(C=C1)C2COC3=C(C2)C=CC(=C3)O,6.224215269,
S9048,(+)-Gallocatechin,OC1CC2=C(OC1C3=CC(=C(O)C(=C3)O)O)C=C(O)C=C2O,6.224215269,
S9387,Maackiain,OC1=CC2=C(C=C1)C3OC4=C(C=C5OCOC5=C4)C3CO2,6.224215269,
S3290,Procyanidin B2,OC1CC2=C(OC1C3=CC(=C(O)C=C3)O)C(=C(O)C=C2O)C4C(O)C(OC5=CC(=CC(=C45)O)O)C6=CC(=C(O)C=C6)O,6.224215269,
E4537,(ˇŔ)-Catechin hydrate,OC1CC2=C(O)C=C(O)C=C2OC1C3=CC(=C(O)C=C3)O,6.224215269,
S9243,Protosappanin B,OCC1(O)COC2=CC(=CC=C2C3=CC(=C(O)C=C3C1)O)O,6.127814249,
S3780,Secoisolariciresinol diglucoside,COC1=C(O)C=CC(=C1)CC(COC2OC(CO)C(O)C(O)C2O)C(COC3OC(CO)C(O)C(O)C3O)CC4=CC(=C(O)C=C4)OC,6.110608522,
S9146,Anwuligan,COC1=C(O)C=CC(=C1)CC(C)C(C)CC2=CC3=C(OCO3)C=C2,6.110608522,
S2384,Hematoxylin,OC1=CC2=C(C=C1O)C3C4=C(OCC3(O)C2)C(=C(O)C=C4)O,6.054796395,
S9428,Brazilin,OC1=CC2=C(C=C1)C3C4=CC(=C(O)C=C4CC3(O)CO2)O,6.054796395,
S5144,Neferine,COC1=CC=C(CC2N(C)CCC3=C2C=C(OC4=CC(=CC=C4O)CC5N(C)CCC6=C5C=C(OC)C(=C6)OC)C(=C3)OC)C=C1,6.035828939,
S9150,Daurisoline,COC1=CC2=C(C=C1O)C(CC3=CC(=C(O)C=C3)OC4=CC=C(CC5N(C)CCC6=C5C=C(OC)C(=C6)OC)C=C4)N(C)CC2,6.035828939,
S9186,Liensinine perchlorate,COC1=CC2=C(C=C1OC)C(CC3=CC=C(O)C(=C3)OC4=CC5=C(CCN(C)C5CC6=CC=C(O)C=C6)C=C4OC)N(C)CC2.O[Cl](=O)(=O)=O,6.035828939,
S9295,Dauricine,COC1=CC2=C(C=C1OC)C(CC3=CC=C(OC4=C(O)C=CC(=C4)CC5N(C)CCC6=C5C=C(OC)C(=C6)OC)C=C3)N(C)CC2,6.035828939,
S9411,Liensinine,COC1=CC2=C(C=C1OC)C(CC3=CC=C(O)C(=C3)OC4=CC5=C(CCN(C)C5CC6=CC=C(O)C=C6)C=C4OC)N(C)CC2,6.035828939,
S9424,Liensinine diperchlorate,COC1=CC2=C(C=C1OC)C(CC3=CC(=C(O)C=C3)OC4=C(OC)C=C5CCN(C)C(CC6=CC=C(O)C=C6)C5=C4)N(C)CC2.O[Cl](=O)(=O)=O.O[Cl](=O)(=O)=O,6.035828939,
S9247,Isoliensinine,COC1=CC=C(CC2N(C)CCC3=C2C=C(OC4=C(O)C=CC(=C4)CC5N(C)CCC6=C5C=C(O)C(=C6)OC)C(=C3)OC)C=C1,6.035828939,
S5105,Proanthocyanidins,OC1C(O)C(OC2CC3=C(OC2C4=CC=C(O)C(=C4)O)C=C(O)C=C3O)(OC5=C1C(=CC(=C5)O)O)C6=CC=C(O)C(=C6)O,6.034163462,
S9187,Phillygenin,COC1=C(OC)C=C(C=C1)C2OCC3C2COC3C4=CC(=C(O)C=C4)OC,6.005385792,
E4286,Bromothymol Blue,CC(C)C1=CC(=C(C)C(=C1O)Br)C2(O[S](=O)(=O)C3=CC=CC=C23)C4=C(C)C(=C(O)C(=C4)C(C)C)Br,5.984636839,
S2325,Morin Hydrate,O.OC1=CC=C(C(=C1)O)C2=C(O)C(=O)C3=C(O)C=C(O)C=C3O2,5.981591588,
S2366,Taxifolin (Dihydroquercetin),OC1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(O)C=C3)O,5.981591588,
S2394,Naringenin,OC1=CC=C(C=C1)C2CC(=O)C3=C(O)C=C(O)C=C3O2,5.981591588,
S2399,Dihydromyricetin,OC1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC(=C(O)C(=C3)O)O,5.981591588,
S3675,Umbelliferone,OC1=CC2=C(C=C1)C=CC(=O)O2,5.981591588,
S3929,Liquiritigenin,OC1=CC=C(C=C1)C2CC(=O)C3=CC=C(O)C=C3O2,5.981591588,
S4711,Esculetin,OC1=CC2=C(C=CC(=O)O2)C=C1O,5.981591588,
S9174,Xanthotoxol,OC1=C2OC(=O)C=CC2=CC3=C1OC=C3,5.981591588,
S9110,Morin,OC1=CC(=C(C=C1)C2=C(O)C(=O)C3=C(O2)C=C(O)C=C3O)O,5.981591588,
S9123,Eriodictyol,OC1=CC2=C(C(=O)CC(O2)C3=CC(=C(O)C=C3)O)C(=C1)O,5.981591588,
E0023,"5,7-Dihydroxychromone",OC1=CC(=C2C(=O)C=COC2=C1)O,5.981591588,
E4175,(ˇŔ)-Naringenin,OC1=CC=C(C=C1)C2CC(=O)C3=C(O)C=C(O)C=C3O2,5.981591588,
E2862,(+/-)-Naringenin,OC1=CC=C(C=C1)C2CC(=O)C3=C(O)C=C(O)C=C3O2,5.981591588,
E4425,4-tert-Octylphenol,CC(C)(C)CC(C)(C)C1=CC=C(O)C=C1,5.950584104,
S2326,Myricetin,OC1=CC(=C2C(=O)C(=C(OC2=C1)C3=CC(=C(O)C(=C3)O)O)O)O,5.944285088,
E4318,"3,5-Diiodo-L-tyrosine dihydrate",NC(CC1=CC(=C(O)C(=C1)I)I)C(O)=O,5.940134811,
S9634,Phenoxodiol (Haginin E),OC1=CC=C(C=C1)C2=CC3=CC=C(O)C=C3OC2,5.918345936,
S2262,Apigenin (LY 080400),OC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(O)C=C3O,5.917914074,
S2314,Kaempferol (NSC 407289),OC1=CC=C(C=C1)C2=C(O)C(=O)C3=C(O)C=C(O)C=C3O2,5.917914074,
S2320,Luteolin,OC1=CC(=C2C(=O)C=C(OC2=C1)C3=CC=C(O)C(=C3)O)O,5.917914074,
S2347,Quercetin Dihydrate,O.O.OC1=CC(=C2C(=O)C(=C(OC2=C1)C3=CC=C(O)C(=C3)O)O)O,5.917914074,
S2391,Quercetin (NSC 9221),OC1=CC(=C2C(=O)C(=C(OC2=C1)C3=CC=C(O)C(=C3)O)O)O,5.917914074,
S3833,Amentoflavone,OC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C(=C(O)C=C3O)C4=CC(=CC=C4O)C5=CC(=O)C6=C(O5)C=C(O)C=C6O,5.917914074,
S9120,Scutellarein,OC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=C(O)C(=C3O)O,5.917914074,
E0675,Quercetagetin,OC1=CC=C(C=C1O)C2=C(O)C(=O)C3=C(O)C(=C(O)C=C3O2)O,5.917914074,
E0526,sappanone A,OC1=CC=C2C(=O)C(/COC2=C1)=C/C3=CC=C(O)C(=C3)O,5.911586807,
S9131,Punicalagin,OC1COC(=O)C2=CC(=C(O)C(=C2C3=C4C(=O)OC5=C(O)C(=C(C6=C5C4=C(OC6=O)C(=C3O)O)C7=C(C=C(O)C(=C7O)O)C(=O)OC1C8OC(=O)C9=CC(=C(O)C(=C9C%10=C(C=C(O)C(=C%10O)O)C(=O)OC8C=O)O)O)O)O)O,5.907608335,
S9098,Dehydrodiisoeugenol,COC1=C(O)C=CC(=C1)C2OC3=C(C=C(\C=C\C)C=C3OC)C2C,5.900499049,
S9035,Isovitexin,OCC1OC(C(O)C(O)C1O)C2=C(O)C3=C(OC(=CC3=O)C4=CC=C(O)C=C4)C=C2O,5.876870632,
S9099,Orientin,OCC1OC(C(O)C(O)C1O)C2=C(O)C=C(O)C3=C2OC(=CC3=O)C4=CC(=C(O)C=C4)O,5.876870632,
S9234,Schaftoside,OCC1OC(C(O)C(O)C1O)C2=C(O)C3=C(OC(=CC3=O)C4=CC=C(O)C=C4)C(=C2O)C5OCC(O)C(O)C5O,5.876870632,
S9192,Vitexin,OCC1OC(C(O)C(O)C1O)C2=C(O)C=C(O)C3=C2OC(=CC3=O)C4=CC=C(O)C=C4,5.876870632,
S9248,Homoorientin,OCC1OC(C(O)C(O)C1O)C2=C(O)C3=C(OC(=CC3=O)C4=CC(=C(O)C=C4)O)C=C2O,5.876870632,
S9378,"4',5-Dihydroxyflavone",OC1=CC=C(C=C1)C2=CC(=O)C3=C(O2)C=CC=C3O,5.835863063,
S6348,(+)-Delta-Tocopherol,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(O1)C(=CC(=C2)O)C,5.831451556,
S9127,Carnosol,CC(C)C1=CC2=C(C(=C1O)O)C34CCCC(C)(C)C3CC2OC4=O,5.818752401,
S2615,Noradrenaline bitartrate monohydrate,O.NCC(O)C1=CC(=C(O)C=C1)O.OC(C(O)C(O)=O)C(O)=O,5.808305746,
S3906,Astragalus polyphenols,OCC1OC(OC2=C(\C=C\C3=CC=C(O)C=C3)C=C(O)C=C2O)C(O)C(O)C1O,5.804932315,
S2250,(-)-Epigallocatechin Gallate,OC1=CC2=C(CC(OC(=O)C3=CC(=C(O)C(=C3)O)O)C(O2)C4=CC(=C(O)C(=C4)O)O)C(=C1)O,5.801129882,
S3925,(-)-Epicatechin gallate,OC1=CC2=C(CC(OC(=O)C3=CC(=C(O)C(=C3)O)O)C(O2)C4=CC=C(O)C(=C4)O)C(=C1)O,5.801129882,
S9058,Gallocatechin gallate,OC1=CC2=C(CC(OC(=O)C3=CC(=C(O)C(=C3)O)O)C(O2)C4=CC(=C(O)C(=C4)O)O)C(=C1)O,5.801129882,
S2390,Polydatin,OCC1OC(OC2=CC(=CC(=C2)\C=C\C3=CC=C(O)C=C3)O)C(O)C(O)C1O,5.799265808,
S9075,Mulberroside A,OCC1OC(OC2=CC=C(/C=C/C3=CC(=CC(=C3)O)OC4OC(CO)C(O)C(O)C4O)C(=C2)O)C(O)C(O)C1O,5.799265808,
S9284,Aloesin,CC(=O)CC1=CC(=O)C2=C(C)C=C(O)C(=C2O1)C3OC(CO)C(O)C(O)C3O,5.796994384,
S5469,Bavachin,CC(C)=CCC1=CC2=C(OC(CC2=O)C3=CC=C(O)C=C3)C=C1O,5.773330511,
S9259,Lithospermic acid,OC(=O)C(CC1=CC(=C(O)C=C1)O)OC(=O)/C=C/C2=CC=C(O)C3=C2C(C(O3)C4=CC(=C(O)C=C4)O)C(O)=O,5.764470327,
S4735,Salvianolic acid B,OC(=O)C(CC1=CC(=C(O)C=C1)O)OC(=O)/C=C/C2=CC=C(O)C3=C2C(C(O3)C4=CC=C(O)C(=C4)O)C(=O)OC(CC5=CC=C(O)C(=C5)O)C(O)=O,5.764470327,
S3813,Bakuchiol,CC(C)=CCCC(C)(C=C)\C=C\C1=CC=C(O)C=C1,5.748930646,
E4560,Carminic acid,CC1=C2C(=O)C3=C(O)C(=C(O)C(=C3C(=O)C2=CC(=C1C(O)=O)O)O)C4OC(CO)C(O)C(O)C4O,5.739582166,
S3608,Demethylzeylasteral (T-96),CC12CCC(C)(CC1C3(C)CCC4(C)C5=CC(=C(O)C(=C5C(=O)C=C4C3(C)CC2)C=O)O)C(O)=O,5.732957989,
S3838,Carnosic acid,CC(C)C1=CC2=C(C(=C1O)O)C3(CCCC(C)(C)C3CC2)C(O)=O,5.732957989,
S4762,"2,4-Dihydroxyacetophenone",CC(=O)C1=C(O)C=C(O)C=C1,5.732957989,
S4784,Phloracetophenone,CC(=O)C1=C(O)C=C(O)C=C1O,5.732957989,
S9090,Corilagin,OC1C2COC(=O)C3=CC(=C(O)C(=C3C4=C(C=C(O)C(=C4O)O)C(=O)OC1C(O)C(O2)OC(=O)C5=CC(=C(O)C(=C5)O)O)O)O,5.731362057,
S9396,Geraniin,OC1=CC(=CC(=C1O)O)C(=O)OC2OC3COC(=O)C4=CC(=C(O)C(=C4C5=C(C=C(O)C(=C5O)O)C(=O)OC6C3OC(=O)C7=CC(=O)C8(O)OC9=C(O)C(=CC(=C9C7C8(O)O)C(=O)OC26)O)O)O,5.731362057,
S3951,Tannic acid,OC1=CC(=CC(=C1O)O)C(=O)OC2=C(O)C(=CC(=C2)C(=O)OCC3OC(OC(=O)C4=CC(=C(O)C(=C4)O)OC(=O)C5=CC(=C(O)C(=C5)O)O)C(OC(=O)C6=CC(=C(O)C(=C6)O)OC(=O)C7=CC(=C(O)C(=C7)O)O)C(OC(=O)C8=CC(=C(O)C(=C8)O)OC(=O)C9=CC(=C(O)C(=C9)O)O)C3OC(=O)C%10=CC(=C(O)C(=C%10)O)OC(=O)C%11=CC(=C(O)C(=C%11)O)O)O,5.728801102,
S3609,Berbamine dihydrochloride,Cl.Cl.COC1=CC2=C3C=C1OC4=C(OC)C(=CC5=C4C(CC6=CC(=C(O)C=C6)OC7=CC=C(CC3N(C)CC2)C=C7)N(C)CC5)OC,5.720394562,
S9141,Berbamine,COC1=C2OC3=C4C(CC5=CC=C(O)C(=C5)OC6=CC=C(CC7N(C)CCC(=C1)C7=C2)C=C6)N(C)CCC4=CC(=C3OC)OC,5.720394562,
S2375,Aloin,OCC1OC(C(O)C(O)C1O)C2C3=C(C(=CC=C3)O)C(=O)C4=C2C=C(CO)C=C4O,5.718141927,
S0936,Aloin B,OCC1OC(C(O)C(O)C1O)C2C3=CC=CC(=C3C(=O)C4=C2C=C(CO)C=C4O)O,5.718141927,
E4515,Aloin(mixture of A&B),OCC1OC(C(O)C(O)C1O)C2C3=C(C(=CC=C3)O)C(=O)C4=C2C=C(CO)C=C4O,5.718141927,
S9293,Isoliquiritin,OCC1OC(OC2=CC=C(\C=C\C(=O)C3=C(O)C=C(O)C=C3)C=C2)C(O)C(O)C1O,5.717292268,
S3240,Phaseoloidin,OCC1OC(OC2=C(CC(O)=O)C=C(O)C=C2)C(O)C(O)C1O,5.717292268,
S4686,Vitamin E,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(C)C(=C(C)C(=C2O1)C)O,5.69736734,
S6104,(ˇŔ)-¦Á-Tocopherol,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(C)C(=C(C)C(=C2O1)C)O,5.69736734,
E4109,rel-¦Á-Vitamin E,CC(C)CCCC(C)CCCC(C)CCCC1(C)CCC2=C(C)C(=C(C)C(=C2O1)C)O,5.69736734,
S9045,Triptophenolide,CC(C)C1=CC=C2C(=C1O)CCC3C4=C(CCC23C)C(=O)OC4,5.693599622,
S1273,Amarogentin,OCC1OC(OC2OC=C3C(CCOC3=O)C2C=C)C(OC(=O)C4=C(O)C=C(O)C=C4C5=CC=CC(=C5)O)C(O)C1O,5.675826,
S3061,Epinephrine HCl,Cl.CNCC(O)C1=CC=C(O)C(=C1)O,5.673341824,
E4422,DL-Adrenaline Hydrochloride,Cl.CNCC(O)C1=CC(=C(O)C=C1)O,5.673341824,
E2901,(-)-Isoproterenol hydrochloride,Cl.CC(C)NCC(O)C1=CC(=C(O)C=C1)O,5.673341824,
E0130,Apigenin-7-O-glucuronide,OC1C(O)C(OC(C1O)C(O)=O)OC2=CC(=C3C(=O)C=C(OC3=C2)C4=CC=C(O)C=C4)O,5.671152761,
E0131,Luteolin-7-O-glucuronide,OC1C(O)C(OC(C1O)C(O)=O)OC2=CC(=C3C(=O)C=C(OC3=C2)C4=CC(=C(O)C=C4)O)O,5.671152761,
S9246,Tiliroside,OC1C(O)C(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC3=C(OC4=C(C(=CC(=C4)O)O)C3=O)C5=CC=C(O)C=C5)C1O,5.654003725,
S2343,Phlorizin,OCC1OC(OC2=C(C(=O)CCC3=CC=C(O)C=C3)C(=CC(=C2)O)O)C(O)C(O)C1O,5.648236907,
S9064,Trilobatin,OCC1OC(OC2=CC(=C(C(=O)CCC3=CC=C(O)C=C3)C(=C2)O)O)C(O)C(O)C1O,5.648236907,
S9077,Plantamajoside,OCC1OC(OC2C(O)C(OCCC3=CC=C(O)C(=C3)O)OC(CO)C2OC(=O)\C=C\C4=CC=C(O)C(=C4)O)C(O)C(O)C1O,5.648236907,
S9196,Calceolarioside B,OC1C(O)C(COC(=O)\C=C\C2=CC=C(O)C(=C2)O)OC(OCCC3=CC=C(O)C(=C3)O)C1O,5.648236907,
E4348,Phlorizin dihydrate,O.OCC1OC(OC2=C(C(=O)CCC3=CC=C(O)C=C3)C(=CC(=C2)O)O)C(O)C(O)C1O,5.648236907,wfdr
S3810,Scutellarin,OC1C(O)C(OC(C1O)C(O)=O)OC2=CC3=C(C(=O)C=C(O3)C4=CC=C(O)C=C4)C(=C2O)O,5.644912927,
E4434,Phenylephrine,CNCC(O)C1=CC(=CC=C1)O,5.641964297,
S3606,Fangchinoline,COC1=C2OC3=CC=C(CC4N(C)CCC5=C4C=C(OC6=C(O)C(=CC7=C6C(CC(=C2)C=C1)N(C)CC7)OC)C(=C5)OC)C=C3,5.601134481,
S3611,(+)-Fangchinoline,COC1=C2OC3=CC=C(CC4N(C)CCC5=C4C=C(OC6=C7C(CC(=C2)C=C1)N(C)CCC7=CC(=C6O)OC)C(=C5)OC)C=C3,5.601134481,
E4302,2-Ethyl-6-methylphenol,CCC1=C(O)C(=CC=C1)C,5.596852709,
S4940,Maltol,CC1=C(O)C(=O)C=CO1,5.592568767,
S9552,Farrerol,CC1=C(O)C2=C(OC(CC2=O)C3=CC=C(O)C=C3)C(=C1O)C,5.592568767,
S9425,Trifolirhizin,OCC1OC(OC2=CC3=C(C=C2)C4OC5=C(C=C6OCOC6=C5)C4CO3)C(O)C(O)C1O,5.589981351,
S2258,Esculin,OCC1OC(OC2=C(O)C=C3OC(=O)C=CC3=C2)C(O)C(O)C1O,5.581725934,
S3930,Liquiritin,OCC1OC(OC2=CC=C(C=C2)C3CC(=O)C4=C(O3)C=C(O)C=C4)C(O)C(O)C1O,5.581725934,
S3254,Plantagoside,OCC1OC(OC2=CC(=CC(=C2O)O)C3CC(=O)C4=C(O)C=C(O)C=C4O3)C(O)C(O)C1O,5.581725934,
S9479,Complanatoside A,OCC1OC(OC2=C(O)C=C(C=C2O)C3=C(OC4OC(CO)C(O)C(O)C4O)C(=O)C5=C(O)C=C(O)C=C5O3)C(O)C(O)C1O,5.577715948,
S1848,Curcumin,COC1=CC(=CC=C1O)/C=C/C(O)=C/C(=O)/C=C/C2=CC(=C(O)C=C2)OC,5.573806787,
S2300,Ferulic Acid,COC1=CC(=CC=C1O)\C=C\C(O)=O,5.573806787,
S2339,Paeonol,COC1=CC(=C(C=C1)C(C)=O)O,5.573806787,
S2425,Apocynin (NSC 2146),COC1=C(O)C=CC(=C1)C(C)=O,5.573806787,
S3629,Syringic acid,COC1=CC(=CC(=C1O)OC)C(O)=O,5.573806787,
S3630,Methyl Vanillate,COC(=O)C1=CC(=C(O)C=C1)OC,5.573806787,
S3764,Isoferulic Acid,COC1=C(O)C=C(\C=C\C(O)=O)C=C1,5.573806787,
S3790,Methyl gallate,COC(=O)C1=CC(=C(O)C(=C1)O)O,5.573806787,
S3869,Methyl protocatechuate,COC(=O)C1=CC(=C(O)C=C1)O,5.573806787,
S4781,Xanthoxyline,COC1=CC(=C(C(C)=O)C(=C1)OC)O,5.573806787,
S4787,Methyl syringate,COC(=O)C1=CC(=C(O)C(=C1)OC)OC,5.573806787,
S4955,Acetosyringone,COC1=CC(=CC(=C1O)OC)C(C)=O,5.573806787,
S5162,Isovanillic acid,COC1=C(O)C=C(C=C1)C(O)=O,5.573806787,
S5343,Vanillic acid,COC1=C(O)C=CC(=C1)C(O)=O,5.573806787,
S5451,Ferulic acid methyl ester,COC(=O)\C=C\C1=CC=C(O)C(=C1)OC,5.573806787,
